Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
22;aac(3)-id_ie;3;0;0;3;16.15;0.17;91.18;0.05;1.84;-1;
23;aac(3)-id_ie;3;0;0;3;16.08;0.21;91.2;0.34;1.84;-1;
24;aac(3)-id_ie;3;0;0;3;16.28;0.06;91.74;0.06;1.86;-1;
000NTC;aac(3)-id_ie;1;0;0;1;26.86;;77.54;;1.73;-1;
GENO;aac(3)-id_ie;2;0;0;2;25.29;0.17;80.03;1.51;1.82;-1;
22;aac(3)-iid_iii_iif_iia_iie;3;0;0;3;13.61;0.1;92.3;0.02;1.83;-1;
23;aac(3)-iid_iii_iif_iia_iie;3;0;0;3;13.66;0.08;91.88;0.17;1.86;-1;
24;aac(3)-iid_iii_iif_iia_iie;3;0;0;3;13.98;0.01;92.01;0.13;1.86;-1;
000NTC;aac(3)-iid_iii_iif_iia_iie;1;0;0;1;29.79;;88.34;;1.79;-1;
GENO;aac(3)-iid_iii_iif_iia_iie;2;0;0;2;26.61;3.58;87;7.29;1.87;-1;
22;aac(3)-xaa;3;0;0;3;16.24;0.07;92.04;0.13;1.89;-1;
23;aac(3)-xaa;3;0;0;3;16.64;0.03;91.56;0.2;1.87;-1;
24;aac(3)-xaa;3;0;0;3;16.92;0.04;91.6;0.04;1.89;-1;
000NTC;aac(3)-xaa;1;0;0;1;30.28;;80.31;;1.95;-1;
GENO;aac(3)-xaa;1;0;1;2;29.88;;88.12;;2;-1;MultipleMeltPeaks
22;Aac6-Aph2;3;0;0;3;23.67;0.18;90.67;0.65;1.85;-1;
23;Aac6-Aph2;1;0;2;3;24.42;;90.8;;1.89;-1;MultipleMeltPeaks
24;Aac6-Aph2;2;1;0;3;23.9;0.01;91.84;0.34;1.88;-1;ContainsOutlierReplicateCt
000NTC;Aac6-Aph2;0;0;1;1;;;;;;-1;NotInformative
GENO;Aac6-Aph2;2;0;0;2;31.46;2.88;75.21;0.28;2.11;-1;
22;aac(6)-ig;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
23;aac(6)-ig;1;0;2;3;17.17;;90.72;;1.99;-1;MultipleMeltPeaks
24;aac(6)-ig;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6)-ig;1;0;0;1;17.33;;76.78;;1.92;-1;
GENO;aac(6)-ig;2;0;0;2;17.28;0.06;76.87;0.05;1.96;-1;
22;aac(6)-iic;3;0;0;3;17.45;0.11;91.34;0.09;1.88;-1;
23;aac(6)-iic;3;0;0;3;17.6;0.11;91.56;0.02;1.88;-1;
24;aac(6)-iic;3;0;0;3;18.29;0.04;91.54;0.03;1.86;-1;
000NTC;aac(6)-iic;1;0;0;1;38.83;;75.38;;1.65;-1;
GENO;aac(6)-iic;2;0;0;2;31.92;4.04;84.18;11.45;1.78;-1;
22;aac(6)-ij;2;0;1;3;25.14;0.91;90.69;0.54;1.87;-1;MultipleMeltPeaks
23;aac(6)-ij;3;0;0;3;25.2;0.75;90.65;1.54;1.82;-1;
24;aac(6)-ij;2;0;1;3;24.46;0.98;91.7;0.74;1.86;-1;MultipleMeltPeaks
000NTC;aac(6)-ij;1;0;0;1;26.95;;76.6;;1.77;-1;
GENO;aac(6)-ij;2;0;0;2;26.41;0.09;77.16;0.31;1.87;-1;
22;aac(6)-im;1;0;2;3;23.09;;89.86;;2.03;-1;MultipleMeltPeaks
23;aac(6)-im;3;0;0;3;23.15;0.08;89.89;0.27;2.02;-1;
24;aac(6)-im;3;0;0;3;23.68;0.35;90.2;0.31;2.04;-1;
000NTC;aac(6)-im;1;0;0;1;23.67;;75.07;;1.91;-1;
GENO;aac(6)-im;2;0;0;2;24.18;0.21;75.19;0.05;1.92;-1;
22;aac(6)-ir;3;0;0;3;14.37;0.15;91.89;0.04;1.89;-1;
23;aac(6)-ir;3;0;0;3;14.17;0.07;89.93;0.16;1.87;-1;
24;aac(6)-ir;3;0;0;3;14.48;0.03;89.86;0.11;1.9;-1;
000NTC;aac(6)-ir;1;0;0;1;28.57;;78.92;;1.94;-1;
GENO;aac(6)-ir;1;0;1;2;30.6;;82.25;;1.96;-1;MultipleMeltPeaks
22;aac(6)-is_iu_ix;1;0;2;3;21.53;;92.27;;2.01;-1;MultipleMeltPeaks
23;aac(6)-is_iu_ix;1;0;2;3;21.93;;91.14;;1.94;-1;MultipleMeltPeaks
24;aac(6)-is_iu_ix;3;0;0;3;22.18;0.23;91.45;0.21;1.98;-1;
000NTC;aac(6)-is_iu_ix;1;0;0;1;23.13;;81.6;;1.88;-1;
GENO;aac(6)-is_iu_ix;2;0;0;2;23.2;0.05;81.76;0.05;1.87;-1;
22;aac(6)-iv_ih;3;0;0;3;17.03;0.07;91.46;0.05;1.9;-1;
23;aac(6)-iv_ih;3;0;0;3;17.18;0.04;91.63;0.04;1.91;-1;
24;aac(6)-iv_ih;3;0;0;3;17.45;9.23E-03;91.6;0.13;1.91;-1;
000NTC;aac(6)-iv_ih;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aac(6)-iv_ih;2;0;0;2;26.73;0.17;79.11;3.92;1.81;-1;
22;aac(6)-iw;3;0;0;3;23.82;0.42;89.68;0.41;1.96;-1;
23;aac(6)-iw;2;0;1;3;23.19;0.28;89.17;0.34;1.92;-1;MultipleMeltPeaks
24;aac(6)-iw;2;1;0;3;23.51;0.03;89.82;0.12;1.95;-1;ContainsOutlierReplicateCt
000NTC;aac(6)-iw;1;0;0;1;26.69;;76.18;;1.92;-1;
GENO;aac(6)-iw;2;0;0;2;27.17;0.62;77.11;0.11;1.94;-1;
22;aac(6)-iz;3;0;0;3;15.63;0.05;91.78;0.03;1.88;-1;
23;aac(6)-iz;3;0;0;3;15.55;0.1;91.49;9.79E-03;1.86;-1;
24;aac(6)-iz;3;0;0;3;16.17;0.05;91.88;0.02;1.9;-1;
000NTC;aac(6)-iz;1;0;0;1;18.86;;80.84;;1.64;-1;
GENO;aac(6)-iz;2;0;0;2;18.81;0.1;81.06;0.29;1.66;-1;
22;aacA43;3;0;0;3;18.83;0.21;91.08;1.12;1.72;-1;
23;aacA43;3;0;0;3;18.68;0.31;90.92;0.32;1.74;-1;
24;aacA43;2;0;1;3;18.46;0.35;91.61;0.05;1.75;-1;MultipleMeltPeaks
000NTC;aacA43;1;0;0;1;17.47;;75.41;;1.96;-1;
GENO;aacA43;2;0;0;2;16.84;0.04;77.42;0.25;1.92;-1;
22;aadA6;3;0;0;3;18.55;0.04;91.59;0.02;1.89;-1;
23;aadA6;3;0;0;3;18.75;0.01;91.69;0.04;1.84;-1;
24;aadA6;3;0;0;3;18.92;0.05;91.83;0.04;1.88;-1;
000NTC;aadA6;1;0;0;1;25.24;;82.81;;1.86;-1;
GENO;aadA6;2;0;0;2;25.15;0.38;84.18;0.79;1.89;-1;
22;aadA7;3;0;0;3;11.35;0.02;91.7;0.07;2.04;-1;
23;aadA7;3;0;0;3;11.74;0.08;91.46;0.02;2;-1;
24;aadA7;3;0;0;3;11.94;0.07;91.68;0.11;1.93;-1;
000NTC;aadA7;1;0;0;1;25;;91;;1.44;-1;
GENO;aadA7;2;0;0;2;25.01;0.45;89.34;3.63;1.48;-1;
22;aadA10;3;0;0;3;17.42;0.03;92.02;0.02;1.9;-1;
23;aadA10;3;0;0;3;17.53;0.11;92.04;0.03;1.87;-1;
24;aadA10;3;0;0;3;17.87;0.01;92.06;0.08;1.83;-1;
000NTC;aadA10;1;0;0;1;25.31;;79.4;;1.76;-1;
GENO;aadA10;2;0;0;2;24.11;0.36;80.07;0.02;1.81;-1;
22;aadA16;2;0;1;3;15.78;9.06E-03;91.03;0.01;1.91;-1;MultipleMeltPeaks
23;aadA16;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
24;aadA16;3;0;0;3;16.14;0.1;91.38;0.12;1.88;-1;
000NTC;aadA16;1;0;0;1;28.33;;78.45;;1.9;-1;
GENO;aadA16;2;0;0;2;27.24;0.16;78.6;0.22;1.92;-1;
22;aadA17;3;0;0;3;15.07;0.07;91.31;0.13;1.95;-1;
23;aadA17;3;0;0;3;15.29;0.16;91.32;0.04;1.89;-1;
24;aadA17;3;0;0;3;15.34;0.08;91.36;0.03;1.88;-1;
000NTC;aadA17;1;0;0;1;32.8;;90.94;;1.92;-1;
GENO;aadA17;2;0;0;2;33.4;4.01;84.79;11.96;1.73;-1;
22;aadB;3;0;0;3;15.79;0.14;91.61;0.09;1.9;-1;
23;aadB;3;0;0;3;15.18;0.11;91.28;0.07;1.88;-1;
24;aadB;3;0;0;3;15.51;0.27;91.65;0.11;1.88;-1;
000NTC;aadB;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aadB;2;0;0;2;28.1;0.84;87.82;3.59;1.91;-1;
22;ant4-ib;2;0;1;3;16.95;0.11;90.88;0.16;1.91;-1;MultipleMeltPeaks
23;ant4-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
24;ant4-ib;1;0;2;3;17.06;;91.34;;1.88;-1;MultipleMeltPeaks
000NTC;ant4-ib;1;0;0;1;27.16;;80.85;;1.92;-1;
GENO;ant4-ib;2;0;0;2;27.05;0.39;81.8;2.13;1.95;-1;
22;ant6-ia;3;0;0;3;15.9;0.2;91.6;0.15;1.94;-1;
23;ant6-ia;3;0;0;3;15.2;0.2;91.49;0.04;1.94;-1;
24;ant6-ia;3;0;0;3;15.33;0.23;91.16;0.06;1.91;-1;
000NTC;ant6-ia;1;0;0;1;22.76;;80.05;;1.78;-1;
GENO;ant6-ia;1;0;1;2;22.36;;92.41;;1.84;-1;MultipleMeltPeaks
22;aph3-ib;2;0;1;3;13.92;0.03;91.52;0.13;1.88;-1;MultipleMeltPeaks
23;aph3-ib;3;0;0;3;14;0.18;91.44;0.06;1.92;-1;
24;aph3-ib;2;0;1;3;14.23;0.04;91.44;0.02;1.89;-1;
000NTC;aph3-ib;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aph3-ib;2;0;0;2;28.78;1.45;86.84;5.07;1.95;-1;
22;aph3-viia;1;0;2;3;5.42;;92.26;;1.38;-1;MultipleMeltPeaks
23;aph3-viia;0;0;3;3;;;;;;-1;NotInformative
24;aph3-viia;1;0;2;3;4.54;;92.21;;1.51;-1;CtIsSmall, MultipleMeltPeaks
000NTC;aph3-viia;0;0;1;1;;;;;;-1;NotInformative
GENO;aph3-viia;0;0;2;2;;;;;;-1;NotInformative
22;aph4-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
23;aph4-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
24;aph4-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph4-ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aph4-ia;0;0;2;2;;;;;;-1;NotInformative
22;aph(3'')-ia;3;0;0;3;22;0.37;91.74;0.31;1.88;-1;
23;aph(3'')-ia;3;0;0;3;20.56;0.19;92.23;0.02;1.89;-1;
24;aph(3'')-ia;3;0;0;3;21.69;0.16;91.79;0.11;1.89;-1;
000NTC;aph(3'')-ia;1;0;0;1;29.74;;77.5;;1.88;-1;
GENO;aph(3'')-ia;2;0;0;2;29.06;0.39;77.09;0.9;1.89;-1;
22;apmA;3;0;0;3;20.98;0.34;90.1;0.51;1.89;-1;
23;apmA;2;0;1;3;20.07;0.17;89.82;7.40E-03;1.92;-1;MultipleMeltPeaks
24;apmA;2;0;1;3;20.32;0.12;89.95;0.01;1.93;-1;MultipleMeltPeaks
000NTC;apmA;1;0;0;1;20.56;;75.92;;1.82;-1;
GENO;apmA;2;0;0;2;20.42;0.02;76;0.01;1.83;-1;
22;aph_viii;3;0;0;3;19.84;0.23;91.74;0.1;1.88;-1;
23;aph_viii;3;0;0;3;20.09;0.01;91.61;0.07;1.91;-1;
24;aph_viii;3;0;0;3;19.9;0.18;91.84;0.04;1.88;-1;
000NTC;aph_viii;1;0;0;1;27.36;;87.15;;1.81;-1;
GENO;aph_viii;2;0;0;2;27.12;0.67;84.44;4.91;1.86;-1;
22;acc3-iva;3;0;0;3;15.03;0.1;91.15;0.06;1.86;-1;
23;acc3-iva;1;0;2;3;15.11;;91.48;;1.87;-1;MultipleMeltPeaks
24;acc3-iva;2;0;1;3;15.32;0.02;91.31;0.08;1.9;-1;MultipleMeltPeaks
000NTC;acc3-iva;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;acc3-iva;2;0;0;2;25.65;0.47;85.94;2.5;1.85;-1;
22;aac(6')I1;2;0;1;3;24.85;0.23;90.51;0.22;1.85;-1;MultipleMeltPeaks
23;aac(6')I1;2;0;1;3;25.01;0.35;90.84;0.71;1.86;-1;MultipleMeltPeaks
24;aac(6')I1;2;1;0;3;25.27;0.05;91.03;0.79;1.81;-1;ContainsOutlierReplicateCt
000NTC;aac(6')I1;1;0;0;1;25.45;;75.73;;1.74;-1;
GENO;aac(6')I1;1;0;1;2;25.41;;76.35;;1.78;-1;MultipleMeltPeaks
22;aac(6')-Iy;2;1;0;3;22.61;0.05;90.72;0.17;1.89;-1;ContainsOutlierReplicateCt
23;aac(6')-Iy;1;0;2;3;22.77;;92;;1.88;-1;MultipleMeltPeaks
24;aac(6')-Iy;3;0;0;3;22.95;0.36;91.4;0.41;1.9;-1;
000NTC;aac(6')-Iy;1;0;0;1;28.02;;77.54;;1.77;-1;
GENO;aac(6')-Iy;2;0;0;2;28.63;0.25;78.01;0.24;1.84;-1;
22;aph6ia;3;0;0;3;15.93;0.15;91.65;0.07;1.97;-1;
23;aph6ia;3;0;0;3;16.11;0.07;91.45;0.07;2.04;-1;
24;aph6ia;3;0;0;3;16.21;0.02;91.77;0.09;2.04;-1;
000NTC;aph6ia;1;0;0;1;22.35;;81.29;;1.67;-1;
GENO;aph6ia;2;0;0;2;21.84;0.07;88.18;4.58;1.68;-1;
22;aac3-Via;3;0;0;3;12.26;0.05;91.35;0.08;1.9;-1;
23;aac3-Via;3;0;0;3;12.46;0.03;91.59;0.03;1.89;-1;
24;aac3-Via;3;0;0;3;12.8;0.02;91.54;0.01;1.87;-1;
000NTC;aac3-Via;1;0;0;1;19.38;;90.75;;1.68;-1;
GENO;aac3-Via;2;0;0;2;18.87;0.08;91.14;0.05;1.71;-1;
22;aph3-III;2;1;0;3;18.02;8.35E-03;91.38;0.01;1.87;-1;ContainsOutlierReplicateCt
23;aph3-III;1;0;2;3;18.64;;91.02;;1.87;-1;MultipleMeltPeaks
24;aph3-III;2;0;1;3;18.62;0.03;92.29;0.16;1.88;-1;MultipleMeltPeaks
000NTC;aph3-III;1;0;0;1;26.7;;76.59;;1.86;-1;
GENO;aph3-III;2;0;0;2;26.17;0.95;84.57;10.77;1.9;-1;
22;ant6-ib;3;0;0;3;18.37;0.04;91.67;0.14;1.87;-1;
23;ant6-ib;2;0;1;3;18.63;0.01;91.78;0.01;1.88;-1;MultipleMeltPeaks
24;ant6-ib;3;0;0;3;18.72;0.05;91.88;0.02;1.87;-1;
000NTC;ant6-ib;1;0;0;1;34.45;;76.68;;1.99;-1;
GENO;ant6-ib;2;0;0;2;35.88;1.58;76.23;1.03;1.92;-1;
22;aac(3)-Xab;3;0;0;3;15.04;0.07;91.2;0.03;1.86;-1;
23;aac(3)-Xab;3;0;0;3;15.16;0.05;91.16;5.21E-03;1.88;-1;
24;aac(3)-Xab;3;0;0;3;15.34;0.08;91.22;0.03;1.88;-1;
000NTC;aac(3)-Xab;1;0;0;1;28.44;;91.47;;1.95;-1;
GENO;aac(3)-Xab;2;0;0;2;28.52;4.5;85.47;10.21;1.86;-1;
22;catB3;2;0;1;3;20.93;0.18;90.97;0.13;1.87;-1;MultipleMeltPeaks
23;catB3;3;0;0;3;20.91;0.13;90.64;0.25;1.85;-1;
24;catB3;2;0;1;3;21.71;0.05;91.31;1.46;1.85;-1;MultipleMeltPeaks
000NTC;catB3;0;0;1;1;;;;;;-1;NotInformative
GENO;catB3;0;0;2;2;;;;;;-1;NotInformative
22;catB8;3;0;0;3;20.39;0.29;91.5;0.06;1.89;-1;
23;catB8;2;1;0;3;20.21;0.04;90.76;0.8;1.88;-1;ContainsOutlierReplicateCt
24;catB8;3;0;0;3;20.06;0.09;90.51;0.87;1.9;-1;
000NTC;catB8;1;0;0;1;24.05;;76.99;;1.88;-1;
GENO;catB8;2;0;0;2;24.03;0.32;83.3;8.59;1.9;-1;
22;ceoA;3;0;0;3;17.05;0.07;90.9;0.12;1.87;-1;
23;ceoA;3;0;0;3;17.17;0.08;91.29;0.1;1.86;-1;
24;ceoA;3;0;0;3;17.48;0.07;91.78;0.05;1.87;-1;
000NTC;ceoA;1;0;0;1;27.54;;77.59;;1.95;-1;
GENO;ceoA;1;0;1;2;27.72;;77.94;;1.98;-1;MultipleMeltPeaks
22;cmlA1;3;0;0;3;17.89;0.11;91.72;0.08;1.86;-1;
23;cmlA1;3;0;0;3;18.02;0.04;91.56;0.09;1.87;-1;
24;cmlA1;3;0;0;3;18.14;0.09;91.64;0.01;1.86;-1;
000NTC;cmlA1;1;0;0;1;34.75;;78.41;;1.96;-1;
GENO;cmlA1;2;0;0;2;35.23;7.43;85.78;8.69;1.92;-1;
