Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
000NTC;aph4ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aph4ib;0;0;2;2;;;;;;-1;NotInformative
13;aph3via;0;0;3;3;;;;;;-1;NotInformative
14;aph3via;0;0;3;3;;;;;;-1;NotInformative
15;aph3via;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph3via;0;0;1;1;;;;;;-1;NotInformative
GENO;aph3via;0;0;2;2;;;;;;-1;NotInformative
13;aph6ic;2;0;1;3;28.88;0.22;91.53;1.59;1.92;-1;MultipleMeltPeaks
14;aph6ic;2;0;1;3;33.11;2.85;87.57;1.24;1.81;-1;MultipleMeltPeaks
15;aph6ic;2;0;1;3;28.98;0.48;89.67;0.7;1.92;-1;MultipleMeltPeaks
000NTC;aph6ic;0;0;1;1;;;;;;-1;NotInformative
GENO;aph6ic;0;0;2;2;;;;;;-1;NotInformative
13;ArmA;1;0;2;3;36.31;;73.2;;1.53;-1;MultipleMeltPeaks
14;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;ArmA;0;0;1;1;;;;;;-1;NotInformative
GENO;ArmA;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
13;spcN;2;0;1;3;28.78;0.42;90.72;0.18;1.99;-1;MultipleMeltPeaks
14;spcN;2;0;1;3;30.86;1.58;88.19;4.1;1.89;-1;MultipleMeltPeaks
15;spcN;2;0;1;3;27.17;0.11;88.93;0.06;1.91;-1;MultipleMeltPeaks
000NTC;spcN;0;0;1;1;;;;;;-1;NotInformative
GENO;spcN;0;0;2;2;;;;;;-1;NotInformative
13;spec_aph;0;0;3;3;;;;;;-1;NotInformative
14;spec_aph;0;0;3;3;;;;;;-1;NotInformative
15;spec_aph;0;0;3;3;;;;;;-1;NotInformative
000NTC;spec_aph;0;0;1;1;;;;;;-1;NotInformative
GENO;spec_aph;0;0;2;2;;;;;;-1;NotInformative
13;aac(3)-ib;2;0;1;3;32.22;1.97;90.68;1.53;1.8;-1;MultipleMeltPeaks
14;aac(3)-ib;1;0;2;3;42.05;;88.66;;1.97;-1;MultipleMeltPeaks
15;aac(3)-ib;2;0;1;3;32.4;1.14;90.1;0.11;1.83;-1;MultipleMeltPeaks
000NTC;aac(3)-ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(3)-ib;0;0;2;2;;;;;;-1;NotInformative
13;aac(3)-id_ie;1;0;2;3;42.12;;82.03;;1.87;-1;MultipleMeltPeaks
14;aac(3)-id_ie;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(3)-id_ie;1;0;2;3;40.7;;90.86;;1.87;-1;MultipleMeltPeaks
000NTC;aac(3)-id_ie;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(3)-id_ie;0;0;2;2;;;;;;-1;NotInformative
13;aac(3)-iid_iii_iif_iia_iie;1;0;2;3;28.15;;88.68;;1.81;-1;MultipleMeltPeaks
14;aac(3)-iid_iii_iif_iia_iie;1;0;2;3;28.64;;84.42;;1.89;-1;MultipleMeltPeaks
15;aac(3)-iid_iii_iif_iia_iie;2;0;1;3;30.68;1.45;87.71;0.12;1.8;-1;MultipleMeltPeaks
000NTC;aac(3)-iid_iii_iif_iia_iie;1;0;0;1;35.79;;83.87;;1.84;-1;
GENO;aac(3)-iid_iii_iif_iia_iie;1;0;1;2;39.36;;78.72;;1.87;-1;
13;aac(3)-xaa;1;0;2;3;40.84;;88.84;;1.92;-1;MultipleMeltPeaks
14;aac(3)-xaa;1;0;2;3;37.58;;85.3;;1.72;-1;
15;aac(3)-xaa;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(3)-xaa;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(3)-xaa;0;0;2;2;;;;;;-1;NotInformative
13;Aac6-Aph2;0;0;3;3;;;;;;-1;NotInformative
14;Aac6-Aph2;0;0;3;3;;;;;;-1;NotInformative
15;Aac6-Aph2;0;0;3;3;;;;;;-1;NotInformative
000NTC;Aac6-Aph2;0;0;1;1;;;;;;-1;NotInformative
GENO;Aac6-Aph2;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-ig;3;0;0;3;39.87;2.56;74.66;0.58;1.73;-1;
14;aac(6)-ig;2;0;1;3;37.9;4.78;74.89;0.3;1.65;-1;
15;aac(6)-ig;1;0;2;3;38.67;;74.46;;1.32;-1;
000NTC;aac(6)-ig;1;0;0;1;27.96;;76.29;;1.86;-1;
GENO;aac(6)-ig;2;0;0;2;36.77;2.47;75;0.18;1.63;-1;
13;aac(6)-iic;2;1;0;3;32.88;0.32;90.42;0.44;1.8;-1;ContainsOutlierReplicateCt
14;aac(6)-iic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(6)-iic;3;0;0;3;35.94;1.86;90.68;0.55;1.68;-1;
000NTC;aac(6)-iic;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-iic;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-ij;0;0;3;3;;;;;;-1;NotInformative
14;aac(6)-ij;0;0;3;3;;;;;;-1;NotInformative
15;aac(6)-ij;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6)-ij;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-ij;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-im;1;0;2;3;41.38;;82.39;;1.88;-1;
14;aac(6)-im;1;0;2;3;35.39;;75.45;;1.88;-1;
15;aac(6)-im;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6)-im;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-im;1;0;1;2;29.59;;75.64;;1.89;-1;
13;aac(6)-ir;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
14;aac(6)-ir;2;0;1;3;35.01;6.41;90.48;0.34;1.88;-1;MultipleMeltPeaks
15;aac(6)-ir;1;0;2;3;27.24;;86.33;;1.97;-1;MultipleMeltPeaks
000NTC;aac(6)-ir;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-ir;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-is_iu_ix;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
14;aac(6)-is_iu_ix;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(6)-is_iu_ix;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6)-is_iu_ix;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-is_iu_ix;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
13;aac(6)-iv_ih;3;0;0;3;34.95;1.78;90.07;0.82;1.97;-1;
14;aac(6)-iv_ih;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(6)-iv_ih;2;0;1;3;38.81;3.28;88.62;0.28;1.89;-1;MultipleMeltPeaks
000NTC;aac(6)-iv_ih;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-iv_ih;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-iw;0;0;3;3;;;;;;-1;NotInformative
14;aac(6)-iw;1;0;2;3;44.46;;75.75;;1.83;-1;
15;aac(6)-iw;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6)-iw;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6)-iw;0;0;2;2;;;;;;-1;NotInformative
13;aac(6)-iz;1;0;2;3;31.92;;85.66;;1.86;-1;MultipleMeltPeaks
14;aac(6)-iz;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(6)-iz;2;1;0;3;34.84;0.36;90.63;1.06;1.75;-1;ContainsOutlierReplicateCt
000NTC;aac(6)-iz;1;0;0;1;31.39;;74.68;;1.46;-1;
GENO;aac(6)-iz;1;0;1;2;37.8;;73.03;;1.31;-1;MultipleMeltPeaks
13;aacA43;1;0;2;3;42.23;;73.56;;1.77;-1;
14;aacA43;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aacA43;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA43;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA43;0;0;2;2;;;;;;-1;NotInformative
13;aadA6;0;0;3;3;;;;;;-1;NotInformative
14;aadA6;0;0;3;3;;;;;;-1;NotInformative
15;aadA6;1;0;2;3;37.81;;86.36;;1.81;-1;
000NTC;aadA6;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA6;0;0;2;2;;;;;;-1;NotInformative
13;aadA7;1;0;2;3;22.84;;86.82;;1.87;-1;MultipleMeltPeaks
14;aadA7;2;0;1;3;30.78;2.58;90.24;0.44;1.83;-1;MultipleMeltPeaks
15;aadA7;2;0;1;3;29.57;2.19;85.84;0.83;1.54;-1;MultipleMeltPeaks
000NTC;aadA7;1;0;0;1;35.03;;72.79;;1.4;-1;
GENO;aadA7;0;0;2;2;;;;;;-1;NotInformative
13;aadA10;1;0;2;3;33.05;;93.23;;1.87;-1;MultipleMeltPeaks
14;aadA10;1;0;2;3;36.91;;88.39;;1.82;-1;MultipleMeltPeaks
15;aadA10;1;0;2;3;33.46;;90.84;;1.84;-1;MultipleMeltPeaks
000NTC;aadA10;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA10;0;0;2;2;;;;;;-1;NotInformative
13;aadA16;2;1;0;3;28.69;0.07;90.98;1.11;1.87;-1;ContainsOutlierReplicateCt
14;aadA16;3;0;0;3;32.69;1.91;91.87;1;1.86;-1;
15;aadA16;3;0;0;3;30.47;1.1;90.42;0.69;1.91;-1;
000NTC;aadA16;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA16;0;0;2;2;;;;;;-1;NotInformative
13;aadA17;3;0;0;3;31.97;0.6;87.98;0.82;1.81;-1;
14;aadA17;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aadA17;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA17;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA17;0;0;2;2;;;;;;-1;NotInformative
13;aadB;2;0;1;3;31.61;2.33;90.21;0.67;1.93;-1;MultipleMeltPeaks
14;aadB;1;0;2;3;33.97;;90.6;;1.78;-1;MultipleMeltPeaks
15;aadB;2;0;1;3;32.84;1.18;90.38;0.1;1.96;-1;MultipleMeltPeaks
000NTC;aadB;0;0;1;1;;;;;;-1;NotInformative
GENO;aadB;0;0;2;2;;;;;;-1;NotInformative
13;ant4-ib;1;0;2;3;29.89;;90.26;;1.97;-1;
14;ant4-ib;0;0;3;3;;;;;;-1;NotInformative
15;ant4-ib;2;0;1;3;37.8;0.33;89.29;4.60E-03;1.72;-1;
000NTC;ant4-ib;1;0;0;1;44.8;;78.56;;1.81;-1;
GENO;ant4-ib;0;0;2;2;;;;;;-1;NotInformative
13;ant6-ia;1;0;2;3;37.58;;90.16;;1.85;-1;MultipleMeltPeaks
14;ant6-ia;1;0;2;3;40.5;;90.37;;1.75;-1;
15;ant6-ia;2;0;1;3;39.22;0.88;87.84;4.56;1.82;-1;
000NTC;ant6-ia;0;0;1;1;;;;;;-1;NotInformative
GENO;ant6-ia;0;0;2;2;;;;;;-1;NotInformative
13;aph3-ib;0;0;3;3;;;;;;-1;NotInformative
14;aph3-ib;0;0;3;3;;;;;;-1;NotInformative
15;aph3-ib;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph3-ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aph3-ib;0;0;2;2;;;;;;-1;NotInformative
13;aph3-viia;0;0;3;3;;;;;;-1;NotInformative
14;aph3-viia;0;0;3;3;;;;;;-1;NotInformative
15;aph3-viia;2;0;1;3;37.41;4.53;76.29;0.52;1.85;-1;
000NTC;aph3-viia;1;0;0;1;35.63;;76.73;;1.9;-1;
GENO;aph3-viia;0;0;2;2;;;;;;-1;NotInformative
13;aph4-ia;1;0;2;3;40.18;;77.38;;1.71;-1;MultipleMeltPeaks
14;aph4-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aph4-ia;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph4-ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aph4-ia;1;0;1;2;40.02;;77.39;;1.59;-1;MultipleMeltPeaks
13;aph(3'')-ia;1;0;2;3;40.99;;91.04;;1.64;-1;MultipleMeltPeaks
14;aph(3'')-ia;0;0;3;3;;;;;;-1;NotInformative
15;aph(3'')-ia;2;0;1;3;41.05;1.97;87.99;4.44;1.73;-1;
000NTC;aph(3'')-ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(3'')-ia;0;0;2;2;;;;;;-1;NotInformative
13;apmA;0;0;3;3;;;;;;-1;NotInformative
14;apmA;0;0;3;3;;;;;;-1;NotInformative
15;apmA;1;0;2;3;30.38;;75.34;;1.72;-1;
000NTC;apmA;0;0;1;1;;;;;;-1;NotInformative
GENO;apmA;1;0;1;2;30.92;;75.39;;1.84;-1;
13;aph_viii;0;0;3;3;;;;;;-1;NotInformative
14;aph_viii;0;0;3;3;;;;;;-1;NotInformative
15;aph_viii;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph_viii;0;0;1;1;;;;;;-1;NotInformative
GENO;aph_viii;0;0;2;2;;;;;;-1;NotInformative
13;acc3-iva;2;0;1;3;33.78;1.74;85.32;5.41;1.81;-1;MultipleMeltPeaks
14;acc3-iva;2;0;1;3;36.88;1.06;80.2;2.02;1.8;-1;MultipleMeltPeaks
15;acc3-iva;2;0;1;3;32.51;1.85;81.89;3.18;1.76;-1;MultipleMeltPeaks
000NTC;acc3-iva;1;0;0;1;31.36;;83.98;;1.89;-1;
GENO;acc3-iva;2;0;0;2;32.59;5.72;79.72;0.5;1.84;-1;
13;aac(6')I1;0;0;3;3;;;;;;-1;NotInformative
14;aac(6')I1;0;0;3;3;;;;;;-1;NotInformative
15;aac(6')I1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6')I1;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')I1;0;0;2;2;;;;;;-1;NotInformative
13;aac(6')-Iy;1;0;2;3;35.28;;80;;1.83;-1;
14;aac(6')-Iy;1;0;2;3;29.71;;86.49;;1.88;-1;
15;aac(6')-Iy;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6')-Iy;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Iy;0;0;2;2;;;;;;-1;NotInformative
13;aph6ia;0;0;3;3;;;;;;-1;NotInformative
14;aph6ia;0;0;3;3;;;;;;-1;NotInformative
15;aph6ia;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph6ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aph6ia;0;0;2;2;;;;;;-1;NotInformative
13;aac3-Via;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
14;aac3-Via;3;0;0;3;24.47;0.12;90.35;0.49;2.03;-1;
15;aac3-Via;3;0;0;3;19.1;0.21;89.78;0.16;1.99;-1;
000NTC;aac3-Via;1;0;0;1;35.23;;81.55;;1.77;-1;
GENO;aac3-Via;2;0;0;2;32.11;3.77;81.5;0.83;1.78;-1;
13;aph3-III;0;0;3;3;;;;;;-1;NotInformative
14;aph3-III;0;0;3;3;;;;;;-1;NotInformative
15;aph3-III;1;0;2;3;37.86;;90.21;;1.94;-1;
000NTC;aph3-III;0;0;1;1;;;;;;-1;NotInformative
GENO;aph3-III;0;0;2;2;;;;;;-1;NotInformative
13;ant6-ib;3;0;0;3;34.6;1.51;89.71;0.18;1.8;-1;
14;ant6-ib;0;0;3;3;;;;;;-1;NotInformative
15;ant6-ib;3;0;0;3;32.84;2.06;88.76;1.31;1.7;-1;
000NTC;ant6-ib;0;0;1;1;;;;;;-1;NotInformative
GENO;ant6-ib;0;0;2;2;;;;;;-1;NotInformative
13;aac(3)-Xab;1;0;2;3;36.95;;86.74;;1.71;-1;MultipleMeltPeaks
14;aac(3)-Xab;0;0;3;3;;;;;;-1;NotInformative
15;aac(3)-Xab;1;0;2;3;36.35;;83.49;;1.5;-1;
000NTC;aac(3)-Xab;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(3)-Xab;0;0;2;2;;;;;;-1;NotInformative
13;catB3;1;0;2;3;40.41;;84.02;;1.88;-1;MultipleMeltPeaks
14;catB3;0;0;3;3;;;;;;-1;NotInformative
15;catB3;2;0;1;3;39.27;1.33;88.51;3.79;1.81;-1;MultipleMeltPeaks
000NTC;catB3;0;0;1;1;;;;;;-1;NotInformative
GENO;catB3;0;0;2;2;;;;;;-1;NotInformative
13;catB8;0;0;3;3;;;;;;-1;NotInformative
14;catB8;0;0;3;3;;;;;;-1;NotInformative
15;catB8;0;0;3;3;;;;;;-1;NotInformative
000NTC;catB8;0;0;1;1;;;;;;-1;NotInformative
GENO;catB8;0;0;2;2;;;;;;-1;NotInformative
13;ceoA;1;0;2;3;43.47;;85.55;;1.84;-1;
14;ceoA;0;0;3;3;;;;;;-1;NotInformative
15;ceoA;0;0;3;3;;;;;;-1;NotInformative
000NTC;ceoA;0;0;1;1;;;;;;-1;NotInformative
GENO;ceoA;0;0;2;2;;;;;;-1;NotInformative
13;cmlA1;1;0;2;3;33.74;;92;;1.91;-1;MultipleMeltPeaks
14;cmlA1;2;0;1;3;36.08;1.06;86.77;2.29;1.88;-1;MultipleMeltPeaks
15;cmlA1;3;0;0;3;33.88;0.96;89.36;0.16;1.94;-1;
000NTC;cmlA1;0;0;1;1;;;;;;-1;NotInformative
GENO;cmlA1;0;0;2;2;;;;;;-1;NotInformative
13;cmx(A);1;0;2;3;35.89;;88.95;;1.86;-1;MultipleMeltPeaks
14;cmx(A);1;0;2;3;31.29;;79.91;;1.82;-1;MultipleMeltPeaks
15;cmx(A);2;0;1;3;36.82;6.32;88.26;1.39;1.86;-1;MultipleMeltPeaks
000NTC;cmx(A);0;0;1;1;;;;;;-1;NotInformative
GENO;cmx(A);0;0;2;2;;;;;;-1;NotInformative
13;catA1;0;0;3;3;;;;;;-1;NotInformative
14;catA1;1;0;2;3;30;;79.53;;1.9;-1;
15;catA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;catA1;0;0;1;1;;;;;;-1;NotInformative
GENO;catA1;0;0;2;2;;;;;;-1;NotInformative
13;qnrB-bob_resign;2;1;0;3;31.5;0.07;88.37;0.12;1.58;-1;ContainsOutlierReplicateCt
14;qnrB-bob_resign;1;0;2;3;40.39;;79.1;;1.89;-1;
15;qnrB-bob_resign;3;0;0;3;39.26;3.08;84.46;4.68;1.6;-1;
000NTC;qnrB-bob_resign;0;0;1;1;;;;;;-1;NotInformative
GENO;qnrB-bob_resign;0;0;2;2;;;;;;-1;NotInformative
13;cmlA5;2;0;1;3;35.86;0.71;90.7;0.16;1.76;-1;MultipleMeltPeaks
14;cmlA5;1;0;2;3;39.17;;89.92;;1.86;-1;
15;cmlA5;1;0;2;3;40.37;;89.5;;1.88;-1;
000NTC;cmlA5;0;0;1;1;;;;;;-1;NotInformative
GENO;cmlA5;0;0;2;2;;;;;;-1;NotInformative
13;floR;3;0;0;3;36.13;2.72;90.7;1.06;1.84;-1;
14;floR;1;0;2;3;38.66;;77.15;;1.78;-1;
15;floR;1;0;2;3;40.24;;85.47;;1.88;-1;MultipleMeltPeaks
000NTC;floR;0;0;1;1;;;;;;-1;NotInformative
GENO;floR;0;0;2;2;;;;;;-1;NotInformative
13;vanC;1;0;2;3;41.82;;90.19;;1.75;-1;MultipleMeltPeaks
14;vanC;0;0;3;3;;;;;;-1;NotInformative
15;vanC;0;0;3;3;;;;;;-1;NotInformative
000NTC;vanC;0;0;1;1;;;;;;-1;NotInformative
GENO;vanC;0;0;2;2;;;;;;-1;NotInformative
13;VanB;2;0;1;3;31.19;2.42;90.47;1.08;1.89;-1;MultipleMeltPeaks
14;VanB;2;0;1;3;34.33;3.57;87.04;0.21;1.8;-1;
15;VanB;1;0;2;3;30.45;;86.47;;1.72;-1;MultipleMeltPeaks
000NTC;VanB;0;0;1;1;;;;;;-1;NotInformative
GENO;VanB;0;0;2;2;;;;;;-1;NotInformative
13;vanD;0;0;3;3;;;;;;-1;NotInformative
14;vanD;0;0;3;3;;;;;;-1;NotInformative
15;vanD;0;0;3;3;;;;;;-1;NotInformative
000NTC;vanD;0;0;1;1;;;;;;-1;NotInformative
GENO;vanD;0;0;2;2;;;;;;-1;NotInformative
13;vanHD;0;0;3;3;;;;;;-1;NotInformative
14;vanHD;0;0;3;3;;;;;;-1;NotInformative
15;vanHD;3;0;0;3;40.74;1.84;88.39;2.56;1.88;-1;
000NTC;vanHD;0;0;1;1;;;;;;-1;NotInformative
GENO;vanHD;0;0;2;2;;;;;;-1;NotInformative
13;vanHB;2;0;1;3;27.88;0.28;88.91;3.14;1.91;-1;MultipleMeltPeaks
14;vanHB;2;0;1;3;32.08;0.23;86.09;3.38;1.88;-1;MultipleMeltPeaks
15;vanHB;3;0;0;3;27.45;0.3;87.45;0.63;1.88;-1;
000NTC;vanHB;1;0;0;1;43.47;;77.04;;1.96;-1;
GENO;vanHB;0;0;2;2;;;;;;-1;NotInformative
13;vanRA;0;0;3;3;;;;;;-1;NotInformative
14;vanRA;0;0;3;3;;;;;;-1;NotInformative
