Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
000NTC;sat4;1;0;0;1;29.02;;74.56;;2.08;-1;
GENO;sat4;2;0;0;2;28.72;0.61;73.56;0.15;1.66;-1;
19;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aac(6')-Ib;2;0;0;2;23.82;0.04;86.3;6.86;1.64;-1;
19;aadA2a;2;0;1;3;18.93;0.18;91.36;0.05;1.95;-1;MultipleMeltPeaks
20;aadA2a;2;0;1;3;18.55;0.18;91.76;0.09;1.95;-1;MultipleMeltPeaks
21;aadA2a;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA2a;1;0;0;1;23.14;;79.29;;1.73;-1;
GENO;aadA2a;1;0;1;2;22.53;;77.34;;1.83;-1;MultipleMeltPeaks
19;aadA5;2;1;0;3;20.01;0.03;90.74;0.27;1.88;-1;ContainsOutlierReplicateCt
20;aadA5;3;0;0;3;21.53;0.34;91.48;0.21;1.98;-1;
21;aadA5;3;0;0;3;21.84;0.16;91.6;0.12;1.89;-1;
000NTC;aadA5;1;0;0;1;25.7;;79.57;;1.85;-1;
GENO;aadA5;2;0;0;2;25.73;0.44;80.69;5.03;1.88;-1;
19;aadA_99;3;0;0;3;20.84;0.29;91.38;0.06;1.99;-1;
20;aadA_99;3;0;0;3;20.8;0.14;91.32;0.25;1.97;-1;
21;aadA_99;3;0;0;3;19.45;0.13;91.28;0.19;2.13;-1;
000NTC;aadA_99;1;0;0;1;24.14;;76.78;;1.89;-1;
GENO;aadA_99;2;0;0;2;23.89;0.05;76.89;0.02;1.97;-1;
19;aph(2')-Id;2;0;1;3;29.16;0.8;74.73;0.16;2.03;-1;MultipleMeltPeaks
20;aph(2')-Id;2;0;1;3;29.55;0.2;75.74;0.91;2.05;-1;MultipleMeltPeaks
21;aph(2')-Id;2;0;1;3;32.52;3.58;74.27;0.3;1.93;-1;MultipleMeltPeaks
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;1;0;1;2;29.53;;74.47;;1.99;-1;
19;aadD;3;0;0;3;20.47;0.26;92.32;0.08;1.85;-1;
20;aadD;2;1;0;3;20.78;0.08;92.2;0.05;1.82;-1;ContainsOutlierReplicateCt
21;aadD;3;0;0;3;21.24;0.11;91.88;0.26;1.82;-1;
000NTC;aadD;1;0;0;1;26.6;;78.64;;1.9;-1;
GENO;aadD;2;0;0;2;26.29;0.51;77.59;0.77;1.97;-1;
19;aadA2b;3;0;0;3;22.59;0.52;91.2;0.1;1.88;-1;
20;aadA2b;2;0;1;3;22.2;0.07;91.54;0.07;1.88;-1;MultipleMeltPeaks
21;aadA2b;3;0;0;3;21.77;0.42;91.19;0.21;1.88;-1;
000NTC;aadA2b;1;0;0;1;27.63;;76.01;;1.97;-1;
GENO;aadA2b;2;0;0;2;27.32;0.67;76.2;0.22;1.97;-1;
19;aadA9;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aadA9;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aadA9;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA9;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aadA9;1;0;1;2;41.04;;74.53;;1.56;-1;MultipleMeltPeaks
19;aphA1;2;0;1;3;27.44;0.55;91.39;1.48;1.72;-1;MultipleMeltPeaks
20;aphA1;2;0;1;3;26.47;0.93;89.41;1.3;1.78;-1;MultipleMeltPeaks
21;aphA1;2;0;1;3;27.13;0.28;90.64;0.03;1.78;-1;MultipleMeltPeaks
000NTC;aphA1;1;0;0;1;28.53;;72.84;;1.69;-1;
GENO;aphA1;1;0;1;2;28.58;;72.82;;1.51;-1;MultipleMeltPeaks
19;aadE;2;1;0;3;23.91;7.50E-03;75.19;0.07;1.95;-1;ContainsOutlierReplicateCt
20;aadE;3;0;0;3;23.86;0.22;75.22;0.17;1.89;-1;
21;aadE;3;0;0;3;24.2;0.2;74.9;0.27;1.95;-1;
000NTC;aadE;1;0;0;1;23.44;;74.63;;1.93;-1;
GENO;aadE;2;0;0;2;23.26;0.15;74.65;0.04;1.82;-1;
19;str;2;0;1;3;30.83;1.36;91.32;0.05;1.83;-1;MultipleMeltPeaks
20;str;2;0;1;3;27.64;0.87;90.4;0.56;1.99;-1;MultipleMeltPeaks
21;str;1;0;2;3;27.92;;91;;1.88;-1;MultipleMeltPeaks
000NTC;str;1;0;0;1;26.26;;73.58;;1.75;-1;
GENO;str;2;0;0;2;33.22;7.14;73.65;0.27;2;-1;
19;strA;2;0;1;3;21.79;0.34;91.24;0.18;1.9;-1;MultipleMeltPeaks
20;strA;3;0;0;3;22.4;0.26;91.46;0.25;2;-1;
21;strA;1;0;2;3;21.8;;90.04;;1.99;-1;MultipleMeltPeaks
000NTC;strA;0;0;1;1;;;;;;-1;NotInformative
GENO;strA;0;0;2;2;;;;;;-1;NotInformative
19;aac3ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac3ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac3ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac3ia;1;0;0;1;32.9;;75.35;;1.63;-1;
GENO;aac3ia;2;0;0;2;29.5;0.26;83.96;8.76;1.85;-1;
19;aph4ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aph4ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aph4ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph4ib;1;0;0;1;22.87;;78.48;;1.85;-1;
GENO;aph4ib;2;0;0;2;22.21;0.21;84.67;8.28;1.86;-1;
19;aph3via;3;0;0;3;22.56;0.18;91.82;0.49;2.1;-1;
20;aph3via;1;0;2;3;23;;91.27;;2.14;-1;MultipleMeltPeaks
21;aph3via;3;0;0;3;22.67;0.24;92.34;0.14;1.99;-1;
000NTC;aph3via;1;0;0;1;27.14;;75.72;;1.8;-1;
GENO;aph3via;2;0;0;2;26.31;0.06;75.46;0.26;1.85;-1;
19;aph6ic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aph6ic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aph6ic;1;0;2;3;10.4;;91.38;;2.22;-1;MultipleMeltPeaks
000NTC;aph6ic;1;0;0;1;28.31;;91.4;;1.91;-1;
GENO;aph6ic;2;0;0;2;30.48;1.54;90.33;2.37;1.91;-1;
19;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;ArmA;1;0;0;1;30.63;;75.47;;1.99;-1;
GENO;ArmA;2;0;0;2;31.53;1.38;75.75;0.23;2.04;-1;
19;spcN;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;spcN;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;spcN;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;spcN;1;0;0;1;30.32;;90.95;;1.9;-1;
GENO;spcN;2;0;0;2;32.73;2.43;84.77;9.64;1.91;-1;
19;spec_aph;2;0;1;3;24.55;0.17;91.34;0.25;1.91;-1;MultipleMeltPeaks
20;spec_aph;1;0;2;3;24.42;;91.96;;1.92;-1;MultipleMeltPeaks
21;spec_aph;2;0;1;3;23.86;0.1;91.23;0.48;1.92;-1;MultipleMeltPeaks
000NTC;spec_aph;1;0;0;1;29.08;;82.89;;1.9;-1;
GENO;spec_aph;2;0;0;2;30.03;3.99;86.55;7.14;1.79;-1;
19;aac(3)-ib;0;0;3;3;;;;;;-1;NotInformative
20;aac(3)-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac(3)-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(3)-ib;1;0;0;1;30.32;;88.14;;1.81;-1;
GENO;aac(3)-ib;2;0;0;2;30.98;2.32;85.47;10.23;1.83;-1;
19;aac(3)-id_ie;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(3)-id_ie;3;0;0;3;17.23;0.08;91.32;0.09;1.87;-1;
21;aac(3)-id_ie;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(3)-id_ie;1;0;0;1;29.7;;77.11;;1.74;-1;
GENO;aac(3)-id_ie;1;0;1;2;28.89;;78.59;;1.7;-1;MultipleMeltPeaks
19;aac(3)-iid_iii_iif_iia_iie;1;0;2;3;12.76;;91.4;;1.91;-1;MultipleMeltPeaks
20;aac(3)-iid_iii_iif_iia_iie;1;0;2;3;13.14;;91.39;;1.87;-1;MultipleMeltPeaks
21;aac(3)-iid_iii_iif_iia_iie;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(3)-iid_iii_iif_iia_iie;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aac(3)-iid_iii_iif_iia_iie;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
19;aac(3)-xaa;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(3)-xaa;3;0;0;3;16.16;0.05;92.16;0.04;1.99;-1;
21;aac(3)-xaa;3;0;0;3;15.56;0.04;92.47;0.03;2.48;-1;BadR2
000NTC;aac(3)-xaa;1;0;0;1;30.42;;80.27;;1.94;-1;
GENO;aac(3)-xaa;1;0;1;2;29.22;;92.68;;1.95;-1;MultipleMeltPeaks
19;Aac6-Aph2;1;0;2;3;25.08;;91.41;;1.9;-1;MultipleMeltPeaks
20;Aac6-Aph2;2;0;1;3;25.13;0.27;91.15;0.24;1.89;-1;MultipleMeltPeaks
21;Aac6-Aph2;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;Aac6-Aph2;1;0;0;1;39.07;;74.4;;2.13;-1;
GENO;Aac6-Aph2;1;0;1;2;37.98;;74.73;;2.09;-1;
19;aac(6)-ig;3;0;0;3;17.38;0.05;91.69;0.1;1.94;-1;
20;aac(6)-ig;1;0;2;3;17.45;;91.58;;1.92;-1;MultipleMeltPeaks
21;aac(6)-ig;2;1;0;3;17.14;0.02;91.01;0.13;1.94;-1;ContainsOutlierReplicateCt
000NTC;aac(6)-ig;1;0;0;1;17.69;;76.49;;1.89;-1;
GENO;aac(6)-ig;2;0;0;2;17.7;0.06;76.72;0.07;1.89;-1;
19;aac(6)-iic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(6)-iic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac(6)-iic;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6)-iic;1;0;0;1;36.85;;87.71;;1.9;-1;
GENO;aac(6)-iic;2;0;0;2;29.87;0.05;77.04;0.14;1.92;-1;
19;aac(6)-ij;3;0;0;3;26.25;0.35;91.49;0.43;1.63;-1;
20;aac(6)-ij;3;0;0;3;25.81;0.02;91.73;0.46;1.68;-1;
21;aac(6)-ij;3;0;0;3;27.12;0.81;91.93;0.32;1.69;-1;
000NTC;aac(6)-ij;1;0;0;1;26.25;;77.37;;1.65;-1;
GENO;aac(6)-ij;2;0;0;2;25.79;0.09;76.9;0.2;1.67;-1;
19;aac(6)-im;3;0;0;3;24.02;0.84;90.4;0.77;2.05;-1;
20;aac(6)-im;2;0;1;3;23.88;0.57;90.16;0.12;2.04;-1;MultipleMeltPeaks
21;aac(6)-im;1;0;2;3;23.2;;92.28;;2.28;-1;MultipleMeltPeaks
000NTC;aac(6)-im;1;0;0;1;24.35;;75.52;;1.93;-1;
GENO;aac(6)-im;2;0;0;2;25.04;0.05;75.58;0.04;1.94;-1;
19;aac(6)-ir;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(6)-ir;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac(6)-ir;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6)-ir;1;0;0;1;39.32;;85.02;;1.92;-1;
GENO;aac(6)-ir;2;0;0;2;30.17;0.22;88.98;0.51;1.92;-1;
19;aac(6)-is_iu_ix;3;0;0;3;21.02;0.09;91.35;0.39;1.96;-1;
20;aac(6)-is_iu_ix;3;0;0;3;21.41;0.2;91.95;0.29;1.99;-1;
21;aac(6)-is_iu_ix;3;0;0;3;20.75;0.08;92.06;0.07;1.99;-1;
000NTC;aac(6)-is_iu_ix;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aac(6)-is_iu_ix;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
19;aac(6)-iv_ih;0;0;3;3;;;;;;-1;NotInformative
20;aac(6)-iv_ih;3;0;0;3;17.27;0.05;91.36;0.13;1.98;-1;
21;aac(6)-iv_ih;3;0;0;3;16.08;0.17;91.15;0.05;2.02;-1;
000NTC;aac(6)-iv_ih;1;0;0;1;29.51;;77.99;;1.8;-1;
GENO;aac(6)-iv_ih;2;0;0;2;28.82;0.07;77.33;1.18;1.84;-1;
19;aac(6)-iw;2;0;1;3;26.14;1.14;90.97;0.54;2.02;-1;MultipleMeltPeaks
20;aac(6)-iw;2;0;1;3;26.19;0.08;92.47;0.41;1.97;-1;MultipleMeltPeaks
21;aac(6)-iw;2;1;0;3;26.45;0.08;91.94;0.79;2.05;-1;ContainsOutlierReplicateCt
000NTC;aac(6)-iw;1;0;0;1;28.69;;77.72;;1.95;-1;
GENO;aac(6)-iw;2;0;0;2;36.79;6.04;75.75;0.25;1.65;-1;
19;aac(6)-iz;1;0;2;3;15.5;;91.01;;1.93;-1;MultipleMeltPeaks
20;aac(6)-iz;3;0;0;3;15.49;0.17;91.02;0.04;1.89;-1;
21;aac(6)-iz;2;0;1;3;14.77;0.15;91.37;9.09E-03;1.91;-1;MultipleMeltPeaks
000NTC;aac(6)-iz;1;0;0;1;19.92;;80.39;;1.62;-1;
GENO;aac(6)-iz;2;0;0;2;19.81;0.14;80.36;0.01;1.64;-1;
19;aacA43;1;0;2;3;21.66;;90.77;;1.61;-1;MultipleMeltPeaks
20;aacA43;2;0;1;3;21.29;0.15;90.93;0.32;1.65;-1;MultipleMeltPeaks
21;aacA43;3;0;0;3;24.87;0.26;92.57;0.21;1.58;-1;
000NTC;aacA43;1;0;0;1;20.35;;74.62;;1.89;-1;
GENO;aacA43;2;0;0;2;18.7;0.18;74.41;0.08;1.86;-1;
19;aadA6;1;0;2;3;18.96;;91.08;;1.89;-1;MultipleMeltPeaks
20;aadA6;1;0;2;3;18.71;;91.21;;1.9;-1;MultipleMeltPeaks
21;aadA6;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA6;1;0;0;1;27.28;;79.79;;1.84;-1;
GENO;aadA6;2;0;0;2;26.84;0.15;83.55;0.34;1.87;-1;
19;aadA7;3;0;0;3;10.7;0.2;91.2;0.02;2.24;-1;
20;aadA7;3;0;0;3;11.19;0.07;91.22;0.11;2.08;-1;
21;aadA7;3;0;0;3;10.03;0.16;91.38;0.07;2.27;-1;
000NTC;aadA7;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aadA7;1;0;1;2;25.83;;91.94;;1.53;-1;MultipleMeltPeaks
19;aadA10;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aadA10;1;0;2;3;16.86;;91.72;;1.87;-1;MultipleMeltPeaks
21;aadA10;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA10;1;0;0;1;26.37;;93.44;;1.77;-1;
GENO;aadA10;1;0;1;2;25.84;;79.3;;1.8;-1;MultipleMeltPeaks
19;aadA16;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aadA16;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aadA16;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA16;1;0;0;1;30.15;;78.22;;1.85;-1;
GENO;aadA16;2;0;0;2;27.27;0.18;78.2;0.09;1.89;-1;
19;aadA17;2;0;1;3;13.85;0.08;91.44;0.07;1.92;-1;MultipleMeltPeaks
20;aadA17;0;0;3;3;;;;;;-1;NotInformative
21;aadA17;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadA17;1;0;0;1;33.28;;88.93;;1.65;-1;
GENO;aadA17;2;0;0;2;30.05;1.15;91.62;2.18;1.91;-1;
19;aadB;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aadB;1;0;2;3;16.2;;91.33;;1.91;-1;MultipleMeltPeaks
21;aadB;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aadB;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aadB;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
19;ant4-ib;2;0;1;3;18.64;0.09;91.54;0.35;2.05;-1;MultipleMeltPeaks
20;ant4-ib;3;0;0;3;18.12;0.09;91.16;0.09;1.93;-1;
21;ant4-ib;1;0;2;3;18.19;;91.04;;2.05;-1;
000NTC;ant4-ib;1;0;0;1;29.4;;79.44;;1.94;-1;
GENO;ant4-ib;2;0;0;2;28.11;0.61;80.59;0.06;1.9;-1;
19;ant6-ia;2;0;1;3;16.72;0.15;91.82;0.14;2.01;-1;MultipleMeltPeaks
20;ant6-ia;2;0;1;3;16.65;0.17;91.82;0.01;1.99;-1;MultipleMeltPeaks
21;ant6-ia;1;0;2;3;16.2;;91.8;;1.99;-1;MultipleMeltPeaks
000NTC;ant6-ia;1;0;0;1;25.73;;89.96;;1.86;-1;
GENO;ant6-ia;2;0;0;2;24.68;1.12E-03;87.22;5.73;1.84;-1;
19;aph3-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aph3-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aph3-ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph3-ib;1;0;0;1;29.28;;91.97;;1.92;-1;
GENO;aph3-ib;2;0;0;2;28.3;0.79;91.29;0.78;1.94;-1;
19;aph3-viia;0;0;3;3;;;;;;-1;NotInformative
20;aph3-viia;0;0;3;3;;;;;;-1;NotInformative
21;aph3-viia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph3-viia;1;0;0;1;8.33;;75.74;;1.42;-1;
GENO;aph3-viia;1;0;1;2;7.81;;76.5;;1.41;-1;
19;aph4-ia;0;0;3;3;;;;;;-1;NotInformative
20;aph4-ia;0;0;3;3;;;;;;-1;NotInformative
21;aph4-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph4-ia;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aph4-ia;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
19;aph(3'')-ia;2;0;1;3;20.77;0.29;91.39;0.28;1.94;-1;MultipleMeltPeaks
20;aph(3'')-ia;3;0;0;3;21.26;0.14;91.12;0.36;1.96;-1;
21;aph(3'')-ia;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph(3'')-ia;1;0;0;1;38.58;;75.33;;1.54;-1;
GENO;aph(3'')-ia;2;0;0;2;31.37;2.29;77.88;2.14;1.74;-1;
19;apmA;2;1;0;3;21.26;0.06;90.9;0.38;1.88;-1;ContainsOutlierReplicateCt
20;apmA;2;0;1;3;21.22;4.74E-03;90.81;0.02;1.95;-1;MultipleMeltPeaks
21;apmA;2;0;1;3;20.47;0.04;92.8;0.07;1.96;-1;MultipleMeltPeaks
000NTC;apmA;1;0;0;1;21.19;;76.2;;1.8;-1;
GENO;apmA;2;0;0;2;21.3;0.16;76.29;0.2;1.82;-1;
19;aph_viii;3;0;0;3;19.29;0.2;92.24;0.06;1.97;-1;
20;aph_viii;3;0;0;3;19.45;0.15;91.88;0.11;1.93;-1;
21;aph_viii;3;0;0;3;19.17;0.24;91.63;0.11;1.97;-1;
000NTC;aph_viii;1;0;0;1;28.58;;76.37;;1.8;-1;
GENO;aph_viii;2;0;0;2;29.92;1.82;76.54;1.28;1.75;-1;
19;acc3-iva;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;acc3-iva;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;acc3-iva;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;acc3-iva;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;acc3-iva;2;0;0;2;26.13;0.13;82.48;4.83;1.81;-1;
19;aac(6')I1;2;0;1;3;27.01;0.26;89.85;1.3;1.68;-1;MultipleMeltPeaks
20;aac(6')I1;2;0;1;3;26.35;0.22;90.77;0.72;1.76;-1;MultipleMeltPeaks
21;aac(6')I1;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6')I1;1;0;0;1;26.53;;76.25;;1.75;-1;
GENO;aac(6')I1;2;0;0;2;25.97;0.07;75.06;0.02;1.7;-1;
19;aac(6')-Iy;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(6')-Iy;1;0;2;3;22.24;;90.73;;1.87;-1;MultipleMeltPeaks
21;aac(6')-Iy;1;0;2;3;22.57;;90.57;;1.78;-1;MultipleMeltPeaks
000NTC;aac(6')-Iy;1;0;0;1;29.4;;88.55;;1.86;-1;
GENO;aac(6')-Iy;2;0;0;2;30.67;0.29;84.45;9.85;1.79;-1;
19;aph6ia;1;0;2;3;15.67;;91.67;;2.07;-1;MultipleMeltPeaks
20;aph6ia;3;0;0;3;16.24;0.08;91.74;0.1;1.97;-1;
21;aph6ia;2;0;1;3;15.73;0.11;91.51;0.05;2.29;-1;MultipleMeltPeaks
000NTC;aph6ia;1;0;0;1;25.4;;82.38;;1.75;-1;
GENO;aph6ia;2;0;0;2;24.16;0.51;86.51;3.94;1.77;-1;
19;aac3-Via;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac3-Via;1;0;2;3;11.72;;91.32;;1.97;-1;MultipleMeltPeaks
21;aac3-Via;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac3-Via;1;0;0;1;22.04;;90.73;;1.67;-1;
GENO;aac3-Via;2;0;0;2;21.48;0.2;91.13;0.5;1.7;-1;
19;aph3-III;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aph3-III;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aph3-III;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aph3-III;1;0;0;1;26.13;;76.56;;1.81;-1;
GENO;aph3-III;2;0;0;2;25.45;0.67;76.94;0.19;1.88;-1;
19;ant6-ib;2;0;1;3;17.18;0.08;91.36;1.94E-04;1.92;-1;MultipleMeltPeaks
20;ant6-ib;3;0;0;3;17.93;0.05;91.54;0.16;1.91;-1;
21;ant6-ib;3;0;0;3;16.57;0.04;91.7;0.06;1.92;-1;
000NTC;ant6-ib;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;ant6-ib;2;0;0;2;35.15;7.91;76.72;0.61;2;-1;
19;aac(3)-Xab;3;0;0;3;13.97;0.1;91.32;0.02;1.9;-1;
20;aac(3)-Xab;1;0;2;3;14.4;;91.48;;1.92;-1;
21;aac(3)-Xab;2;0;1;3;13.81;0.03;91.42;0.03;1.92;-1;MultipleMeltPeaks
000NTC;aac(3)-Xab;1;0;0;1;30.29;;91.71;;1.88;-1;
GENO;aac(3)-Xab;1;0;1;2;36.69;;76.41;;1.55;-1;MultipleMeltPeaks
19;catB3;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;catB3;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;catB3;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;catB3;0;0;1;1;;;;;;-1;NotInformative
GENO;catB3;0;0;2;2;;;;;;-1;NotInformative
19;catB8;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;catB8;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;catB8;1;0;2;3;21.27;;90.39;;1.91;-1;MultipleMeltPeaks
000NTC;catB8;1;0;0;1;24.31;;76.75;;1.85;-1;
GENO;catB8;2;0;0;2;24.48;0.25;76.78;0.07;1.89;-1;
19;ceoA;2;1;0;3;16.25;0.01;91.4;0.05;1.92;-1;ContainsOutlierReplicateCt
20;ceoA;2;0;1;3;16.82;0.1;91.5;0.31;1.89;-1;MultipleMeltPeaks
21;ceoA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;ceoA;1;0;0;1;26.59;;77.47;;1.97;-1;
GENO;ceoA;2;0;0;2;26.16;0.05;77.99;0.22;1.96;-1;
19;cmlA1;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
